CID,"Campaign ID","Adset ID","Ad ID"
AieWPt,{{campaign.id}},{{adset.id}},{{ad.id}}
CwrhfT,{{campaign.id}},{{adset.id}},{{ad.id}}
Dxlnmc,{{campaign.id}},{{adset.id}},{{ad.id}}
EMlipz,{{campaign.id}},{{adset.id}},{{ad.id}}
FLigMB,{{campaign.id}},{{adset.id}},{{ad.id}}
FuAFKn,{{campaign.id}},{{adset.id}},{{ad.id}}
GNQBGe,{{campaign.id}},{{adset.id}},{{ad.id}}
GNwvWh,{{campaign.id}},{{adset.id}},{{ad.id}}
ItURrv,{{campaign.id}},{{adset.id}},{{ad.id}}
JXUyPc,{{campaign.id}},{{adset.id}},{{ad.id}}
KXnlcH,{{campaign.id}},{{adset.id}},{{ad.id}}
LRTNTg,{{campaign.id}},{{adset.id}},{{ad.id}}
Lqspri,{{campaign.id}},{{adset.id}},{{ad.id}}
MUjDvR,{{campaign.id}},{{adset.id}},{{ad.id}}
NHctPH,{{campaign.id}},{{adset.id}},{{ad.id}}
NULZKL,{{campaign.id}},{{adset.id}},{{ad.id}}
OMNsOc,{{campaign.id}},{{adset.id}},{{ad.id}}
SncEQC,{{campaign.id}},{{adset.id}},{{ad.id
XaNrUu,{{campaign.id}},{{adset.id}},{{ad.id}}
YKqnbB,{{campaign.id}},{{adset.id}},{{ad.id}}
ZCJgob,{{campaign.id}},{{adset.id}},{{ad.id}}
ZEHazP,{{campaign.id}},{{adset.id}},{{ad.id}}
aDedEX,{{campaign.id}},{{adset.id}},{{ad.id}}
bfaLNX,{{campaign.id}},{{adset.id}},{{ad.id}}
blnYQC,{{campaign.id}},{{adset.id}},{{ad.id}}
bojWPN,{{campaign.id}},{{adset.id}},{{ad.id}}
bsxKRE,{{campaign.id}},{{adset.id}},{{ad.id}}
cneWLF,{{campaign.id}},{{adset.id}},{{ad.id}}
cxyWTQ,{{campaign.id}},{{adset.id}},{{ad.id}}
dHwWkY,{{campaign.id}},{{adset.id}},{{ad.id}}
diAJKw,{{campaign.id}},{{adset.id}},{{ad.id}}
dkdhsi83,{{campaign.id}},{{adset.id}},{{ad.id}}
dkdhsi83AI,{{campaign.id}},{{adset.id}},{{ad.id}}
dkdhsi84,{{campaign.id}},{{adset.id}},{{ad.id}}
dkdhsi86,{{campaign.id}},{{adset.id}},{{ad.id}}
dowKTM,{{campaign.id}},{{adset.id}},{{ad.id}}
drdocrj093,{{campaign.id}},{{adset.id}},{{ad.id}}
dsoJKR,{{campaign.id}},{{adset.id}},{{ad.id}}
eTXQqz,{{campaign.id}},{{adset.id}},{{ad.id}}
eZdyzn,{{campaign.id}},{{adset.id}},{{ad.id}}
fIxmud,{{campaign.id}},{{adset.id}},{{ad.id}}
fdjMWB,{{campaign.id}},{{adset.id}},{{ad.id}}
fpzLHW,{{campaign.id}},{{adset.id}},{{ad.id}}
gvqKHW,{{campaign.id}},{{adset.id}},{{ad.id}}
hPoSeG,{{campaign.id}},{{adset.id}},{{ad.id}}
iTCBmu,{{campaign.id}},{{adset.id}},{{ad.id}}
irjOsJ,{{campaign.id}},{{adset.id}},{{ad.id}}
jmfWPR,{{campaign.id}},{{adset.id}},{{ad.id}}
kqgPLX,{{campaign.id}},{{adset.id}},{{ad.id}}
lDjEVy,{{campaign.id}},{{adset.id}},{{ad.id}}
lrzYMR,{{campaign.id}},{{adset.id}},{{ad.id}}
ltuXMC,{{campaign.id}},{{adset.id}},{{ad.id}}
mjJDSm,{{campaign.id}},{{adset.id}},{{ad.id}}
mjvWRC,{{campaign.id}},{{adset.id}},{{ad.id}}
ndcWPA,{{campaign.id}},{{adset.id}},{{ad.id}}
nybLVT,{{campaign.id}},{{adset.id}},{{ad.id}}
oaoLim,{{campaign.id}},{{adset.id}},{{ad.id}}
ofuXHT,{{campaign.id}},{{adset.id}},{{ad.id}}
pcAAfY,{{campaign.id}},{{adset.id}},{{ad.id}}
pktLLB,{{campaign.id}},{{adset.id}},{{ad.id}}
qcwYJB,{{campaign.id}},{{adset.id}},{{ad.id
qevKLB,{{campaign.id}},{{adset.id}},{{ad.id}}
rkyWZE,{{campaign.id}},{{adset.id}},{{ad.id
rzwjah,{{campaign.id}},{{adset.id}},{{ad.id}}
sdlKRE,{{campaign.id}},{{adset.id}},{{ad.id}}
sdyMQL,{{campaign.id}},{{adset.id}},{{ad.id}}
sluxIR,{{campaign.id}},{{adset.id}},{{ad.id}}
tjoKPD,{{campaign.id}},{{adset.id}},{{ad.id
tkpKVM,{{campaign.id}},{{adset.id}},{{ad.id}}
trbKPX,{{campaign.id}},{{adset.id}},{{ad.id}}
ujnLYB,{{campaign.id}},{{adset.id}},{{ad.id}}
upaHKL,{{campaign.id}},{{adset.id}},{{ad.id}}
vakYQN,{{campaign.id}},{{adset.id}},{{ad.id}}
vztNWB,{{campaign.id}},{{adset.id}},{{ad.id}}
wWAfTi,{{campaign.id}},{{adset.id}},{{ad.id}}
wcyljx,{{campaign.id}},{{adset.id}},{{ad.id}}
wqpYTC,{{campaign.id}},{{adset.id}},{{ad.id}}
wzpLYJ,{{campaign.id}},{{adset.id}},{{ad.id}}
xSQogp,{{campaign.id}},{{adset.id}},{{ad.id}}
xhuWKV,{{campaign.id}},{{adset.id}},{{ad.id}}
xvlKTR,{{campaign.id}},{{adset.id}},{{ad.id}}
yQhVKY,{{campaign.id}},{{adset.id}},{{ad.id}}
yYCDTH,{{campaign.id}},{{adset.id}},{{ad.id}}
zLEiLk,{{campaign.id}},{{adset.id}},{{ad.id}}
zsaPYL,{{campaign.id}},{{adset.id}},{{ad.id}}
